player,tier,window,cs_min,vis_min,deaths_min,ctrl_wards,kp,n_champs,role_entropy,n_roles,cur_wr,fwd_wr,game_version
0,IRON,0,4.751574255285804,0.6184882424661684,0.24931913140319417,0.9,0.27611707150556647,5,1.0,2,0.2,0.3,16.12.786.9679
0,IRON,1,5.133093666721177,0.6631875088191862,0.20847108346501453,0.6,0.393707444781855,5,0.7219280948873623,2,0.3,0.2,16.12.788.4269
0,IRON,2,4.927652943065672,0.6553124772672132,0.19572599224303464,0.4,0.3405039478065794,6,0.7219280948873623,2,0.2,0.2,16.12.788.4269
1,IRON,0,5.761503392516337,0.521954650784971,0.21220955623438825,0.1,0.4159617598339106,5,0.5816718657178868,3,0.4,0.1,15.24.734.7485
3,IRON,0,5.644850661498325,1.2354222880651278,0.0932966096858965,1.6,0.43107755575612716,3,0.9602297178607612,3,0.7,0.5,16.13.791.5903
3,IRON,1,5.690573414522845,0.9452511746674176,0.18755383126789832,0.7,0.4295249825296995,4,0.5816718657178868,3,0.5,0.6,16.13.791.5903
4,IRON,0,4.609490586932113,0.42787491032104674,0.280308600354812,0.0,0.41223696795791487,4,0.5816718657178868,3,0.3,0.5,16.9.772.1032
4,IRON,1,4.85465567283094,0.44688772736173055,0.24671316338374555,0.1,0.34153680421246374,4,0.46899559358928117,2,0.5,0.4,16.9.772.1032
7,IRON,0,nan,1.6209636145575452,0.14388676256137733,3.7,0.42651447883908433,2,0.0,1,0.4,0.6,16.9.772.1032
7,IRON,1,nan,1.6450873793569687,0.150119581157747,4.4,0.451362328234379,2,0.0,1,0.6,0.4,16.9.772.8292
10,BRONZE,0,4.942921713533181,0.6040578083934772,0.19541484385876448,0.6,0.41230047089195604,8,0.9709505944546688,2,0.5,0.5,15.23.728.3286
10,BRONZE,1,5.704980095381755,0.8914178294078324,0.17845242113590795,0.3,0.4558932774150165,5,0.9709505944546688,2,0.5,0.7,16.9.772.8292
11,BRONZE,0,6.467811062165631,0.9082829645826156,0.2237257344138713,0.0,0.3133041183903166,2,0.46899559358928117,2,0.5,0.5,16.2.741.3171
11,BRONZE,1,6.725279823724707,0.8025950120836045,0.21346587628027258,0.0,0.286887482951831,2,0.46899559358928117,2,0.5,0.4,16.3.745.7600
14,BRONZE,0,4.503514941126857,0.6543134199294975,0.23047269933215145,0.1,0.4383803370141897,2,0.7219280948873623,2,0.7,0.5,16.10.776.5552
14,BRONZE,1,5.1196601608942025,0.6933877517437856,0.18774745911776763,0.7,0.3540136923445344,2,0.7219280948873623,2,0.5,0.4,16.10.776.5552
15,BRONZE,0,2.2072678331090176,0.7584738646542584,0.1858431701731709,0.9,0.40292460729121127,3,0.46899559358928117,2,0.6,0.3,15.1.648.3927
15,BRONZE,1,4.251851295659154,0.8146452317148917,0.21094895710028944,0.3,0.43974972825592024,4,0.0,1,0.3,0.6,16.2.740.1491
15,BRONZE,2,4.3071539267804955,0.9230417761405445,0.19130378479350052,0.5,0.3755711359785613,5,0.7219280948873623,2,0.6,0.5,16.4.748.682
17,BRONZE,0,nan,1.1349590122500564,0.22374037059484791,0.0,0.5440589964889797,2,0.0,1,0.6,0.4,15.23.728.3286
17,BRONZE,1,nan,0.8164840051961215,0.24990426562744808,0.0,0.5510279911417536,3,0.0,1,0.4,0.7,15.24.733.5841
19,BRONZE,0,6.744091152776105,0.9737623492126213,0.16317257946751326,0.2,0.42059028064080495,8,0.9138646883853215,5,0.7,0.3,16.8.766.8562
19,BRONZE,1,6.160095813171694,1.447678834000239,0.23227019267624835,0.2,0.5760783719481809,6,0.9709505944546688,2,0.3,0.4,16.10.776.5552
20,SILVER,0,6.758762133194622,0.7568279444141506,0.22542616606514193,0.2,0.5169970627214109,8,0.9372305632161295,3,0.5,0.4,15.24.734.7485
20,SILVER,1,6.761056083540959,0.9305061284803122,0.2091680328495668,0.6,0.5715984362409279,7,0.8812908992306927,2,0.4,0.4,16.1.737.4870
21,SILVER,0,4.802696480302328,0.6027163699402941,0.22623179131067334,1.5,0.39464238864218243,7,0.9232196723355078,4,0.3,0.6,15.15.699.7589
21,SILVER,1,5.582918228825007,0.7573127832852886,0.21345758478880755,1.2,0.4497545497292291,5,0.46899559358928117,2,0.6,0.5,15.15.701.6241
22,SILVER,0,4.926095384407789,0.5605446091111291,0.2912577343213057,0.0,0.32850858574513825,2,0.0,1,0.3,0.5,16.1.737.4870
22,SILVER,1,5.3745623909944555,0.7124753317143513,0.2115210550966443,0.0,0.43759321150671593,1,0.0,1,0.5,0.7,16.1.737.4870
23,SILVER,0,7.16810683482244,0.7843039322008989,0.1271564006761515,1.0,0.37834221119799066,3,0.46899559358928117,2,0.5,0.5,16.13.790.6961
23,SILVER,1,7.483734716188768,0.8344716114911893,0.11015948109922866,1.2,0.41623594522805424,6,0.7298466991620975,3,0.5,0.7,16.13.791.5903
24,SILVER,0,4.132231404958678,1.8602929482388952,0.15000725389564679,3.3,0.5457936532987243,7,0.46899559358928117,2,0.3,0.4,16.9.772.8292
24,SILVER,1,5.210891845950726,1.3100762048508574,0.14988956875170106,3.0,0.4184920987308288,6,0.8173454221465101,3,0.4,0.6,16.10.776.5552
25,SILVER,0,7.011130900724713,0.5159071843380894,0.14988833803930385,0.7,0.40373906057903275,8,0.7219280948873623,2,0.9,0.5,15.5.662.6652
25,SILVER,1,6.050172209032533,0.5342503313200215,0.1516165649569748,1.0,0.4670676541355073,6,1.0,2,0.5,0.4,15.6.666.5757
26,SILVER,0,6.000610225875658,0.8710063700984568,0.19872066701899244,0.0,0.4821960728277307,2,0.0,1,0.4,0.3,16.2.741.3171
26,SILVER,1,5.902088833581571,1.0162889382662992,0.16562631941209213,0.2,0.49237774053903083,3,0.0,1,0.3,0.5,16.2.741.3171
27,SILVER,0,7.2294380568078775,1.1215226682801338,0.19447732390650532,0.0,0.45034373757655644,4,0.46899559358928117,2,0.5,0.5,16.2.741.3171
27,SILVER,1,7.343139973139256,0.804422765200291,0.17790568544299698,0.0,0.4163054661845479,2,0.0,1,0.5,0.4,16.3.744.7656
28,SILVER,0,nan,0.6363582412894506,0.23457893755786258,0.2,0.3687030651340996,9,0.46899559358928117,2,0.2,0.4,15.12.688.6522
29,SILVER,0,nan,2.2167515516718885,0.20051362420743196,3.3,0.4235255762341429,5,0.0,1,0.3,0.4,16.9.772.8292
29,SILVER,1,nan,2.4271013946856614,0.15844426650907875,5.4,0.521029813400503,5,0.0,1,0.4,0.4,16.9.772.8292
